ts_date,name_city,name_zone,price_contract
2021-07-01,Belo Horizonte,Oeste,4680.85106382979
2021-07-01,Belo Horizonte,Pampulha,4375
2021-07-01,Rio de Janeiro,Centro,5200
2021-07-01,Rio de Janeiro,Norte,3589.74358974359
2021-07-01,Rio de Janeiro,Oeste,5187.5
2021-07-01,Rio de Janeiro,Sul,10000
2021-07-01,São Paulo,Centro,6959.45945945946
2021-07-01,São Paulo,Centro Oeste,9183.67346938776
2021-07-01,São Paulo,Centro Sul,8250
2021-07-01,São Paulo,Leste I,5795.45454545455
2021-07-01,São Paulo,Leste II,4142.65536723164
2021-07-01,São Paulo,Norte,5510.28735632184
2021-07-01,São Paulo,Oeste,5729.16666666667
2021-07-01,São Paulo,Sul,5176.296296296296
2021-10-01,Belo Horizonte,Centro Sul,5600
2021-10-01,Belo Horizonte,Leste,4512.19512195122
2021-10-01,Belo Horizonte,Nordeste,4527.02702702703
2021-10-01,Belo Horizonte,Noroeste,3801.20481927711
2021-10-01,Belo Horizonte,Norte,3566.176470588235
2021-10-01,Belo Horizonte,Oeste,5056.1797752809
2021-10-01,Belo Horizonte,Pampulha,4058.82352941177
2021-10-01,Rio de Janeiro,Centro,5312.5
2021-10-01,Rio de Janeiro,Norte,3728.4482758620697
2021-10-01,Rio de Janeiro,Oeste,4612.29946524064
2021-10-01,Rio de Janeiro,Sul,10781.25
2021-10-01,São Paulo,Centro,7102.678571428571
2021-10-01,São Paulo,Centro Oeste,9929.3315448245
2021-10-01,São Paulo,Centro Sul,8226.98412698413
2021-10-01,São Paulo,Leste I,5833.33333333333
2021-10-01,São Paulo,Leste II,4539.68253968254
2021-10-01,São Paulo,Norte,5714.28571428571
2021-10-01,São Paulo,Oeste,5535.71428571429
2021-10-01,São Paulo,Sul,5514.455782312925
2022-01-01,Belo Horizonte,Centro Sul,5910.321758521824
2022-01-01,Belo Horizonte,Leste,4775.919732441471
2022-01-01,Belo Horizonte,Nordeste,4777.47252747253
2022-01-01,Belo Horizonte,Noroeste,3866.176470588235
2022-01-01,Belo Horizonte,Norte,3728.71572871573
2022-01-01,Belo Horizonte,Oeste,4750
2022-01-01,Belo Horizonte,Pampulha,4583.33333333333
2022-01-01,Rio de Janeiro,Centro,4968.840579710145
2022-01-01,Rio de Janeiro,Norte,4166.66666666667
2022-01-01,Rio de Janeiro,Oeste,4658.3850931677
2022-01-01,Rio de Janeiro,Sul,10250
2022-01-01,São Paulo,Centro,6541.66666666667
2022-01-01,São Paulo,Centro Oeste,9200
2022-01-01,São Paulo,Centro Sul,8740.671641791045
2022-01-01,São Paulo,Leste I,6183.805418719216
2022-01-01,São Paulo,Leste II,4733.33333333333
2022-01-01,São Paulo,Norte,5885.95
2022-01-01,São Paulo,Oeste,5816.32653061225
2022-01-01,São Paulo,Sul,5918.36734693878
2022-04-01,Belo Horizonte,Barreiro,3687.943262411345
2022-04-01,Belo Horizonte,Centro Sul,6359.856415006951
2022-04-01,Belo Horizonte,Leste,4777.77777777778
2022-04-01,Belo Horizonte,Nordeste,4602.048857368005
2022-04-01,Belo Horizonte,Noroeste,3979.61956521739
2022-04-01,Belo Horizonte,Norte,3490.80023364486
2022-04-01,Belo Horizonte,Oeste,4470.7692307692305
2022-04-01,Belo Horizonte,Pampulha,4418.60465116279
2022-04-01,Rio de Janeiro,Centro,5238.09523809524
2022-04-01,Rio de Janeiro,Norte,4047.61904761905
2022-04-01,Rio de Janeiro,Oeste,4693.87755102041
2022-04-01,Rio de Janeiro,Sul,11036.36363636365
2022-04-01,São Paulo,Centro,7073.17073170732
2022-04-01,São Paulo,Centro Oeste,10937.5
2022-04-01,São Paulo,Centro Sul,8273.958333333336
2022-04-01,São Paulo,Leste I,6017.241379310345
2022-04-01,São Paulo,Leste II,4500
2022-04-01,São Paulo,Norte,5656.105457909345
2022-04-01,São Paulo,Oeste,5687.20379146919
2022-04-01,São Paulo,Sul,5708.472686733555
2022-07-01,Belo Horizonte,Barreiro,3038.46153846154
2022-07-01,Belo Horizonte,Centro Sul,6808.51063829787
2022-07-01,Belo Horizonte,Leste,4519.77401129944
2022-07-01,Belo Horizonte,Nordeste,4705.88235294118
2022-07-01,Belo Horizonte,Noroeste,3977.27272727273
2022-07-01,Belo Horizonte,Norte,3972.916666666665
2022-07-01,Belo Horizonte,Oeste,4673.75886524823
2022-07-01,Belo Horizonte,Pampulha,4352.94117647059
2022-07-01,Rio de Janeiro,Centro,5883.870967741936
2022-07-01,Rio de Janeiro,Norte,4348.0907581627
2022-07-01,Rio de Janeiro,Oeste,5368.85245901639
2022-07-01,Rio de Janeiro,Sul,10000
2022-07-01,São Paulo,Centro,6967.2131147541
2022-07-01,São Paulo,Centro Oeste,10417.6851186197
2022-07-01,São Paulo,Centro Sul,8253.19771921714
2022-07-01,São Paulo,Leste I,5891.1111111111095
2022-07-01,São Paulo,Leste II,4705.88235294118
2022-07-01,São Paulo,Norte,5809.81717011129
2022-07-01,São Paulo,Oeste,6080.882352941175
2022-07-01,São Paulo,Sul,5637.330754352035
2022-10-01,Belo Horizonte,Barreiro,4628.787878787875
2022-10-01,Belo Horizonte,Centro Sul,6363.63636363636
2022-10-01,Belo Horizonte,Leste,4366.1525974026
2022-10-01,Belo Horizonte,Nordeste,4523.80952380952
2022-10-01,Belo Horizonte,Noroeste,3750
2022-10-01,Belo Horizonte,Norte,3666.66666666667
2022-10-01,Belo Horizonte,Oeste,4428.57142857143
2022-10-01,Belo Horizonte,Pampulha,4418.5897435897405
2022-10-01,Rio de Janeiro,Centro,5630.96111518709
2022-10-01,Rio de Janeiro,Norte,4335.7843137254895
2022-10-01,Rio de Janeiro,Oeste,5012.254901960785
2022-10-01,Rio de Janeiro,Sul,9498.48484848485
2022-10-01,São Paulo,Centro,7173.6111111111095
2022-10-01,São Paulo,Centro Oeste,10500
2022-10-01,São Paulo,Centro Sul,8320.51282051282
2022-10-01,São Paulo,Leste I,6157.738095238095
2022-10-01,São Paulo,Leste II,4642.85714285714
2022-10-01,São Paulo,Norte,5916.66666666667
2022-10-01,São Paulo,Oeste,6255.16795865633
2022-10-01,São Paulo,Sul,5669.642857142855
2023-01-01,Belo Horizonte,Barreiro,3582.08955223881
2023-01-01,Belo Horizonte,Centro Sul,5416.66666666667
2023-01-01,Belo Horizonte,Leste,4882.35294117647
2023-01-01,Belo Horizonte,Nordeste,4631.57894736842
2023-01-01,Belo Horizonte,Noroeste,3890.1098901098903
2023-01-01,Belo Horizonte,Norte,3392.85714285714
2023-01-01,Belo Horizonte,Oeste,4833.33333333333
2023-01-01,Belo Horizonte,Pampulha,4257.42574257426
2023-01-01,Rio de Janeiro,Centro,5384.61538461539
2023-01-01,Rio de Janeiro,Norte,3863.13713592233
2023-01-01,Rio de Janeiro,Oeste,5000
2023-01-01,Rio de Janeiro,Sul,9769.23076923077
2023-01-01,São Paulo,Centro,7107.21062618596
2023-01-01,São Paulo,Centro Oeste,9758.06451612903
2023-01-01,São Paulo,Centro Sul,8833.33333333333
2023-01-01,São Paulo,Leste I,6142.85714285714
2023-01-01,São Paulo,Leste II,4795.91836734694
2023-01-01,São Paulo,Norte,5833.33333333333
2023-01-01,São Paulo,Oeste,6086.95652173913
2023-01-01,São Paulo,Sul,5966.66666666667
2023-04-01,Belo Horizonte,Barreiro,3686.214775323685
2023-04-01,Belo Horizonte,Centro Sul,6035.714285714284
2023-04-01,Belo Horizonte,Leste,4909.09090909091
2023-04-01,Belo Horizonte,Nordeste,4722.22222222222
2023-04-01,Belo Horizonte,Noroeste,4000
2023-04-01,Belo Horizonte,Norte,3413.33333333333
2023-04-01,Belo Horizonte,Oeste,4898.989898989899
2023-04-01,Belo Horizonte,Pampulha,4600
2023-04-01,Rio de Janeiro,Centro,4810.12658227848
2023-04-01,Rio de Janeiro,Norte,4336.28318584071
2023-04-01,Rio de Janeiro,Oeste,5078.980099502485
2023-04-01,Rio de Janeiro,Sul,10337.0786516854
2023-04-01,São Paulo,Centro,6937.5
2023-04-01,São Paulo,Centro Oeste,10553.2786885246
2023-04-01,São Paulo,Centro Sul,8600
2023-04-01,São Paulo,Leste I,6490.74074074074
2023-04-01,São Paulo,Leste II,5158.47665847666
