city_name,month,median_contract_rent_per_sqm,weighted_median_contract_rent_per_sqm,pct_income_region_bedrooms_category
Barueri,2019-06-01,36.97940111755857,37.2463003679388,0.4305550532
Barueri,2019-07-01,37.41144428951583,37.59990918438655,0.4305550532
Barueri,2019-08-01,40.30753280901938,40.50950362451807,0.4305550532
Barueri,2019-09-01,39.953737514236536,40.08221166241689,0.4305550532
Barueri,2019-10-01,37.67359706178199,37.914439731810155,0.4305550532
Barueri,2019-11-01,34.372761901762736,34.66171783112517,0.4305550532
Barueri,2019-12-01,35.193811732017835,35.607244214164595,0.4305550532
Barueri,2020-01-01,35.9487704136652,36.322104102401724,0.4305550532
Barueri,2020-02-01,36.94373750866173,37.19985590258327,0.4305550532
Barueri,2020-03-01,39.082299926050894,39.3474289885266,0.4305550532
Barueri,2020-04-01,41.838024218359706,42.223568728314824,0.4305550532
Barueri,2020-05-01,41.259097266605536,41.50989345747208,0.4305550532
Barueri,2020-06-01,40.211478218986485,40.36119391984619,0.4305550532
Barueri,2020-07-01,38.67784485312831,38.792105302914464,0.4305550532
Barueri,2020-08-01,38.82755538232,39.10042936818345,0.4305550532
Barueri,2020-09-01,37.73356322457997,38.02469526592515,0.4305550532
Barueri,2020-10-01,38.493862381463565,38.66641822664554,0.4305550532
Barueri,2020-11-01,39.005666129252845,39.178168608680856,0.4305550532
Barueri,2020-12-01,38.64368650686081,38.75218350599638,0.4305550532
Barueri,2021-01-01,38.230024267771626,38.53356807753624,0.4305550532
Barueri,2021-02-01,38.61554638706711,38.904855925777156,0.4305550532
Barueri,2021-03-01,42.84189441180223,43.03829696467425,0.4305550532
Barueri,2021-04-01,42.38550161387053,42.39381714334349,0.4305550532
Barueri,2021-05-01,42.429799523852594,42.439539093503726,0.4305550532
Barueri,2021-06-01,38.93370432225467,39.087796017249566,0.4305550532
Barueri,2021-07-01,40.15068411360443,40.35318384582396,0.4305550532
Barueri,2021-08-01,41.82185121602167,42.085676718762215,0.4305550532
Barueri,2021-09-01,44.88387898119506,45.14203499127743,0.4305550532
Barueri,2021-10-01,45.46387728556653,45.72700434395655,0.4305550532
Barueri,2021-11-01,44.987682006096506,45.210851203035524,0.4305550532
Barueri,2021-12-01,42.9742973048851,43.21425434760106,0.4305550532
Barueri,2022-01-01,43.61828388462707,43.99234829427962,0.4305550532
Barueri,2022-02-01,45.01403884761963,45.32437808347968,0.4305550532
Barueri,2022-03-01,48.0188522632595,48.320463566674206,0.4305550532
Barueri,2022-04-01,50.16863042203882,50.349481644686016,0.4305550532
Barueri,2022-05-01,50.803729703087924,50.91117930463344,0.4305550532
Barueri,2022-06-01,51.28417479215865,51.23216273946551,0.4305550532
Barueri,2022-07-01,54.089577489092434,54.045335927454815,0.4305550532
Barueri,2022-08-01,56.480215070298236,56.616462689974384,0.4305550532
Barueri,2022-09-01,55.966625227440105,56.37233797074751,0.4305550532
Barueri,2022-10-01,53.731166672926186,54.319361150116364,0.4305550532
Barueri,2022-11-01,53.356366735044006,53.77541430786121,0.4305550532
Barueri,2022-12-01,54.68416950775352,55.01076500695557,0.4305550532
Niterói,2019-06-01,16.838416657454765,18.369872512562285,0.4997809962
Niterói,2019-07-01,16.475396271392327,18.25113635930609,0.4997809962
Niterói,2019-08-01,16.114753207038227,17.866091781519874,0.4997809962
Niterói,2019-09-01,15.816788698816229,17.352987561719324,0.4997809962
Niterói,2019-10-01,16.476848738678587,17.619822973904164,0.4997809962
Niterói,2019-11-01,16.47871127700279,17.33954115533703,0.4997809962
Niterói,2019-12-01,15.939945063965288,16.62492673485919,0.4997809962
Niterói,2020-01-01,15.519010674805031,16.187539568709738,0.4997809962
Niterói,2020-02-01,15.578818636451228,16.66724118715302,0.4997809962
Niterói,2020-03-01,16.185370091532096,17.47220085000935,0.4997809962
Niterói,2020-04-01,16.20123667182491,17.609944965505356,0.4997809962
Niterói,2020-05-01,16.33228549228549,17.58084582475735,0.4997809962
Niterói,2020-06-01,16.79464000715756,17.819503825401718,0.4997809962
Niterói,2020-07-01,16.952233686460083,18.215953269906908,0.4997809962
Niterói,2020-08-01,17.250539830902213,18.43161422714849,0.4997809962
Niterói,2020-09-01,16.51064520344946,17.74376927645153,0.4997809962
Niterói,2020-10-01,16.53061449323368,17.27897546238114,0.4997809962
Niterói,2020-11-01,16.160712941847642,16.72427439604201,0.4997809962
Niterói,2020-12-01,16.687655588499048,17.5894071301035,0.4997809962
Niterói,2021-01-01,16.726764836084527,17.753637578927744,0.4997809962
Niterói,2021-02-01,17.079143278653923,18.57943885586525,0.4997809962
Niterói,2021-03-01,16.965840372924205,18.367568365020393,0.4997809962
Niterói,2021-04-01,17.270514131174608,18.835199500343673,0.4997809962
Niterói,2021-05-01,16.64684725360821,17.98367414284822,0.4997809962
Niterói,2021-06-01,16.58229736353487,17.877733399289376,0.4997809962
Niterói,2021-07-01,16.188911665242408,17.54456102680207,0.4997809962
Niterói,2021-08-01,16.71498352639937,18.271381711148813,0.4997809962
Niterói,2021-09-01,16.767778295476212,18.3927129701274,0.4997809962
Niterói,2021-10-01,16.858672018758238,18.565525067894512,0.4997809962
Niterói,2021-11-01,17.116752232513203,18.91576125891821,0.4997809962
Niterói,2021-12-01,18.00460386236483,19.937062066691755,0.4997809962
Niterói,2022-01-01,18.669945945552907,20.896753515046235,0.4997809962
Niterói,2022-02-01,18.602816351720527,20.46959295543267,0.4997809962
Niterói,2022-03-01,18.835182445829297,20.776828881903548,0.4997809962
Niterói,2022-04-01,19.534982653930765,20.82963277679639,0.4997809962
Niterói,2022-05-01,20.065621894864126,21.580194152278477,0.4997809962
Niterói,2022-06-01,19.74003642934535,21.095936980687913,0.4997809962
Niterói,2022-07-01,19.05682390154368,20.98593505187843,0.4997809962
Niterói,2022-08-01,18.936934936360597,20.83738480247827,0.4997809962
Niterói,2022-09-01,19.21958891093069,20.98345845606102,0.4997809962
Niterói,2022-10-01,20.168233496958987,21.59436396210024,0.4997809962
